Ronkonkoma - Ronkonkoma,12487
Central Islip - Ronkonkoma,11604
Brentwood - Central Islip,12483
Deer Park - Brentwood,12538
Wyandanch - Deer Park,15166
Farmingdale - Wyandanch,10591
Bethpage - Farmingdale,16564
Hicksville - Bethpage,15048
Port Washington - Port Washington,2902
Manhasset - Port Washington,451
Great Neck - Manhasset,3978
Flushing Main Street - Great Neck,223
Woodside - Flushing Main Street,5511
Kew Gardens - Kew Gardens,988
Woodside - Kew Gardens,1992
Bellerose - Bellerose,284
Queens Village - Bellerose,3115
Hollis - Queens Village,3932
Penn Station - Penn Station,188389
Penn Station - Woodside,85077
Penn Station - Flushing Main Street,10916
Penn Station - Murray Hill,9850
Penn Station - Broadway,9562
Penn Station - Auburndale,8915
Penn Station - Bayside,9770
Penn Station - Douglaston,8147
Penn Station - Little Neck,7023
Penn Station - Great Neck,6778
Penn Station - Manhasset,3865
Penn Station - Plandome,3367
Penn Station - Hicksville,38737
Hunterspoint Avenue - Hunterspoint Avenue,4446
Hunterspoint Avenue - Jamaica,2714
Hunterspoint Avenue - Mineola,1537
Penn Station - Forest Hills,35842
Penn Station - Kew Gardens,35435
Penn Station - Jamaica,116301
Penn Station - Lynbrook,17327
Penn Station - Rockville Centre,23454
Valley Stream - Valley Stream,2653
Rosedale - Valley Stream,5610
Laurelton - Rosedale,6420
Long Beach - Long Beach,3809
Island Park - Long Beach,3778
Oceanside - Island Park,4185
East Rockaway - Oceanside,4785
Centre Avenue - East Rockaway,5127
Lynbrook - Centre Avenue,5265
Jamaica - Lynbrook,8593
Jamaica - Jamaica,15492
Jamaica - Huntington,543
Jamaica - Greenlawn,912
Jamaica - Northport,415
Jamaica - Kings Park,349
Jamaica - Smithtown,298
Jamaica - St. James,259
Mineola - Mineola,6621
Mineola - Carle Place,10933
Mineola - Westbury,6097
Mineola - Hicksville,14346
Mineola - Syosset,391
Mineola - Cold Spring Harbor,362
Penn Station - St. Albans,12078
Penn Station - Massapequa Park,12942
Penn Station - Amityville,13190
Penn Station - Baldwin,21267
Penn Station - Freeport,22995
Penn Station - Merrick,17791
Penn Station - Bellmore,15308
Penn Station - Wantagh,12891
Penn Station - Seaford,15965
Penn Station - Massapequa,14995
Penn Station - Copiague,11106
Penn Station - Lindenhurst,9029
Valley Stream - Lynbrook,6251
Locust Manor - Laurelton,6402
Jamaica - Locust Manor,4070
Woodside - Jamaica,25201
Manhasset - Manhasset,1194
Woodside - Woodside,6346
Deer Park - Deer Park,2349
